Salar Jung Museum,Hyderabad,Telangana,"World-famous collection of art, antiques, and manuscripts."
Telangana State Archaeology Museum,Hyderabad,Telangana,"Ancient sculptures, coins, and art."
Kakatiya Heritage Museum,Warangal,Telangana,"Artifacts from Kakatiya dynasty."
Tripura State Museum,Agartala,Tripura,"History, art, and culture of Tripura."
Ujjayanta Palace Museum,Agartala,Tripura,"Royal palace with museum collections."
State Museum,Lucknow,Uttar Pradesh,"Art, archaeology, and natural history."
Residency Museum,Lucknow,Uttar Pradesh,"Museum at the British Residency, 1857 Revolt."
Taj Museum,Agra,Uttar Pradesh,"Artifacts and history of the Taj Mahal."
Archaeological Museum,Fatehpur Sikri,Uttar Pradesh,"Artifacts from Mughal city."
Bharat Kala Bhavan,Varanasi,Uttar Pradesh,"Art and archaeological museum at Banaras Hindu University."
Forest Research Institute Museum,Dehradun,Uttarakhand,"Forestry, timber, and natural history."
Zonal Anthropological Museum,Dehradun,Uttarakhand,"Anthropology and tribal cultures of Uttarakhand."
Govind Ballabh Pant Museum,Almora,Uttarakhand,"Kumaoni art, culture, and history."
Indian Museum,Kolkata,West Bengal,"Oldest and largest museum in India, art, archaeology, and natural history."
Victoria Memorial,Kolkata,West Bengal,"Museum and galleries in a marble monument."
Science City,Kolkata,West Bengal,"Interactive science center and museum."
Rabindra Bhavana Museum,Santiniketan,West Bengal,"Tagore’s manuscripts, art, and memorabilia."
